Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8418610659019866
Random Forest,0.8026969481902059,0.6632653061224489,0.5213903743315508,0.5838323353293413,0.8409517166550415
Decision Tree,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752,0.830278488206877
